### Module positions - created on 2023-01-07 15:48
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 28.100mm, Pcb Width 14.100mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
L1            6.8uH               L_4x4_                        176.6800   -68.7500   0.0000     0.0000        0.0    top       SMD
D4            Schottky            D_1206_                       175.0600   -71.9200   0.0000     0.0000        0.0    top       SMD
C4            10uF                C_0805_                       178.1800   -72.3000   0.0000     0.0000       90.0    top       SMD
C3            2.2uF               C_0805_                       171.9300   -72.3000   0.0000     0.0000       90.0    top       SMD
C2            100nF               C_0603_                       170.6800   -69.0000   0.0000     0.0000       90.0    top       SMD
D3            LED                 LED_0603_1608Metric_Pad1.05.. 171.1000   -80.9000   171.1000   -81.7750     90.0    top       SMD
R2            5K1                 R_0603                        183.0500   -78.2000   183.0500   -79.0250     90.0    top       SMD
U1            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 180.7000   -62.5000   182.6000   -63.5000    180.0    top       SMD
J3            USB-C               USC16-TR                      177.0000   -82.9000   0.0000     0.0000        0.0    top       SMD
R5            680R                R_0603                        171.1000   -77.9000   171.1000   -77.0750    -90.0    top       SMD
R1            5K1                 R_0603                        183.0500   -81.1000   183.0500   -80.2750    -90.0    top       SMD
R3            27R                 R_0603                        181.4000   -73.0000   180.5750   -73.0000      0.0    top       SMD
R4            27R                 R_0603                        181.4000   -74.3200   180.5750   -74.3200      0.0    top       SMD
D1            BAV99S              SOT-363_SC-70-6               181.2500   -70.4000   180.3000   -69.7500      0.0    top       SMD
D2            BAV99S              SOT-363_SC-70-6               181.2500   -67.5000   180.3000   -66.8500      0.0    top       SMD
C1            100nF               C_0603                        176.7900   -61.2000   177.5650   -61.2000    180.0    top       SMD
Q1            PMF170XP,115        SOT-323_SC-70                 171.4000   -59.8000   170.7500   -60.8000     90.0    top       SMD
R6            100k 1% or 0R       R_0603                        176.3500   -65.4500   177.1750   -65.4500    180.0    top       SMD
R7            30k 1% or NF        R_0603                        171.7000   -65.3000   171.7000   -64.4750    -90.0    top       SMD
C5            100nF               C_0603                        172.1000   -62.4000   171.3250   -62.4000      0.0    top       SMD
Q2            PMF250XNEX          SOT-323_SC-70                 174.0000   -59.8000   173.3500   -60.8000     90.0    top       SMD
U2            LMR16006+FB         SOT-23-Thin-6-Reg             172.7800   -68.7500   171.8300   -70.1000      0.0    top       SMD
## End
