Designator,Mid X,Mid Y,Rotation,Layer
J1,107.92,-172.15,0,top
TP1,109.48,-148.78,0,top
TP10,57.48,-154.94,0,top
TP11,57.48,-156.27,0,top
TP12,63.11,-157.09,0,top
TP2,109.48,-151.53,0,top
TP3,109.48,-153.63,0,top
TP4,109.48,-154.94,0,top
TP5,109.48,-156.27,0,top
TP6,115.11,-157.09,0,top
TP7,57.48,-148.78,0,top
TP8,57.48,-151.53,0,top
TP9,57.48,-153.63,0,top
Z1,82.0,-126.0,90,top
Z2,98.0,-162.0,0,top
Z3,98.0,-89.1,0,top
Z4,98.0,-110.0,0,top
Z5,62.0,-126.0,90,top
Z6,98.0,-142.0,0,top
Z7,134.0,-126.0,90,top
Z8,114.0,-126.0,90,top
