Designator,Mid X,Mid Y,Rotation,Layer
C1,-83.4,-16.8,270.0,top
C10,-67.4,-11.2,180.0,top
C2,-80.12,-20.15,180.0,top
C3,-79.8,-23.1,0.0,top
C4,-70.99,-22.18,270.0,top
C5,-78.8,-20.7,270.0,top
C6,-72.4,-19.8,270.0,top
C7,-77.4,-19.8,270.0,top
C8,-74.9,-19.1,180.0,top
C9,-69.98,-22.23,270.0,top
D1,-78.5,-11.0,90.0,top
D2,-77.5,-11.0,90.0,top
D3,-84.5,-11.0,270.0,top
D4,-79.6,-18.7,0.0,top
D5,-76.5,-11.0,90.0,top
J1,-92.28,-17.0,270.0,top
J2,-85.5,-18.8875,270.0,top
J3,-64.535,-17.0,90.0,top
L2,-74.9,-16.5,180.0,top
Q1,-82.8,-22.5,0.0,top
Q2,-82.8,-19.9,0.0,top
R1,-69.5,-17.75,90.0,top
R10,-73.1,-23.0,180.0,top
R11,-78.7,-16.9,90.0,top
R2,-69.5,-15.8,90.0,top
R3,-67.4,-22.8,180.0,top
R4,-63.15,-22.8,180.0,top
R6,-79.6,-16.9,90.0,top
R7,-80.5,-16.9,90.0,top
R8,-74.9,-23.0,180.0,top
R9,-76.7,-23.0,180.0,top
U1,-81.5,-13.3,180.0,top
U3,-74.9,-21.1,180.0,top
