Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_0603_,1,100nF,C30926
C3,C_0805_,1,2.2uF,C19110
C4,C_0805_,1,10uF,C17024
C5,C_0603,1,100nF,
"D1, D2",SOT-363_SC-70-6,2,BAV99S,C68987
D3,0603,1,LED,C264473
D4,D_1206_,1,Schottky,C143805
J1,PinHeader_1x05_P2.54mm_Right,1,Shelly 1,C225491
J2,PinHeader_1x07_P1.27mm_Vertical,1,Conn_01x07,C2832274
J3,USC16-TR,1,USB-C,C709357
L1,L_4x4_,1,6.8uH,C354575
Q1,SOT-323_SC-70,1,"PMF170XP,115",
Q2,SOT-363_SC-70-6,1,2N7002BKS,C68181
"R1, R2",R_0603,2,5K1,
"R3, R4",R_0603,2,27R,
R5,R_0603,1,680R,
R6,R_0603,1,100k 1%,C14675
R7,R_0603,1,30k 1%,C100001
R8,R_0603,1,4k7,
R9,R_0603,1,10k,
U2,SOT-23-Thin-6-Reg,1,LMR16006YDDCR,C290195
U3,CH340X,1,CH340X,C3035748
