Designator,Mid X,Mid Y,Rotation,Layer
C2,170.68,-69.0,90.0,top
C3,171.93,-72.3,90.0,top
C4,178.18,-72.3,90.0,top
C5,182.7,-64.8,270.0,top
D1,181.25,-70.4,270.0,top
D2,181.25,-67.5,270.0,top
D3,171.1,-80.9,90.0,top
D4,175.06,-71.92,0.0,top
J1,177.0,-56.1,180.0,top
J2,178.74,-58.6,0.0,bottom
J3,177.0,-78.5,0.0,top
L1,176.68,-68.75,0.0,top
Q1,171.55,-59.0,270.0,top
Q2,174.95,-61.2,180.0,top
R1,183.05,-81.1,270.0,top
R2,183.05,-78.2,90.0,top
R5,171.1,-77.9,270.0,top
R6,176.35,-65.45,180.0,top
R7,171.7,-65.3,270.0,top
R8,179.8,-65.5,180.0,top
R9,171.0,-61.9,90.0,top
U2,172.78,-68.75,180.0,top
U3,179.859107,-62.0,270.0,top
